name,time,settingskey,settingsvalue
MSCSettings,1730201175000000000,StandbyModeDeactivatorSpeed,2
MSCSettings,1730201176000000000,StandbyModeDeactivatorTimePeriod,600000
MSCSettings,1730201177000000000,StormBlockerReleaseWindSpeed,13
MSCSettings,1730201179000000000,StormBlockerTimePeriod,60000
MSCSettings,1730201180000000000,T01_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201181000000000,T02_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201183000000000,T03_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201184000000000,T04_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201185000000000,T05_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201186000000000,T06_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201188000000000,T07_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201189000000000,T08_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201190000000000,T09_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201191000000000,T10_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201193000000000,T11_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201194000000000,T12_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201195000000000,T13_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201196000000000,T14_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201198000000000,T15_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201199000000000,T16_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1730201203000000000,hasMSCInternet,true
MSCSettings,1730201204000000000,isBrakeArray,x1111111111111111
MSCSettings,1730201206000000000,isMSCActivated,true
MSCSettings,1730201208000000000,isNormalOPActivated,true
MSCSettings,1730201210000000000,onlineCheck,1
MSCSettings,1730201211000000000,turbineCount,16
MSCSettings,1730201213000000000,turbineCountMax,16
MSCSettings,1730201214000000000,turbineSchema,x1111111111111111
MSCSettings,1730201216000000000,EmergencySwitchStatus,1
MSCSettings,1730201219000000000,ImdStatus,1
MSCSettings,1730201220000000000,AnemometerValueAlarm,0
MSCSettings,1730201221000000000,UsbStickCheckerPassed,0
MSCSettings,1730201223000000000,userStopSchema,3/3/3/3/3/3/3/3/3/3/3/3/3/3/3/3
MSCSettings,1730370112000000000,VPNstate,true
MSCSettings,1730371913000000000,VPNstate,false
MSCSettings,1731069129000000000,StandbyModeDeactivatorSpeed,2
MSCSettings,1731069130000000000,StandbyModeDeactivatorTimePeriod,600000
MSCSettings,1731069131000000000,StormBlockerReleaseWindSpeed,13
MSCSettings,1731069132000000000,StormBlockerTimePeriod,60000
MSCSettings,1731069134000000000,T01_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069135000000000,T02_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069136000000000,T03_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069137000000000,T04_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069139000000000,T05_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069140000000000,T06_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069141000000000,T07_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069142000000000,T08_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069144000000000,T09_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069145000000000,T10_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069146000000000,T11_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069147000000000,T12_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069149000000000,T13_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069150000000000,T14_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069151000000000,T15_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069152000000000,T16_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1731069156000000000,hasMSCInternet,true
MSCSettings,1731069157000000000,isBrakeArray,x1111111111111111
MSCSettings,1731069160000000000,isMSCActivated,true
MSCSettings,1731069161000000000,isNormalOPActivated,true
MSCSettings,1731069164000000000,onlineCheck,1
MSCSettings,1731069165000000000,turbineCount,16
MSCSettings,1731069166000000000,turbineCountMax,16
MSCSettings,1731069167000000000,turbineSchema,x1111111111111111
MSCSettings,1731069170000000000,EmergencySwitchStatus,1
MSCSettings,1731069173000000000,ImdStatus,1
MSCSettings,1731069174000000000,AnemometerValueAlarm,0
MSCSettings,1731069175000000000,UsbStickCheckerPassed,0
MSCSettings,1731069176000000000,userStopSchema,3/3/3/3/3/3/3/3/3/3/3/3/3/3/3/3
